NF;Data_Pedido;Data_Entrega_Prevista;Data_Entrega_Real;Prazo_contratado;Qtd_Pedida;Qtd_Entregue;Falha_de_entrega;Valor_do_pedido;Custo_Frete_KM;primeiro_sucesso_entrega;seguN_sucesso_entrega;Tentativas_de_entrega;Motivo_Devolucao;Ocorrencia;Produto_controlado;ID_Driver;Modelo;Modal;Eixos;Cubagem_(m3);Capacidade_(ton);Frete;Pedagio_(R$/km);TDE_(Taxa_de_Descarga);TAC_(Carga_Perigosa)_(Frete*dec);GRIS_(Gerenciamento_de_Risco:_Valor_da_carga*dec);Hora_Parada;Ad_Valorem_(valor_da_carga*dec);Coleta/Entrega_Urbana;Transportadora;Origem-Cidade;Origem-UF;Destino-Cidade;Destino-UF;KM;TEMPO_DE_IDA_(h);TEMPO_DE_VOLTA_(h);TEMPO_NO_CD_(h)
6866;19/01/2024;26/01/2024;26/01/2024;7;9;9;0;3965400;4816;Y;N;0;;N;Y;DR90604;Carreta Bitrem;Carreta;9;110;57;8;3.2;350;0.08;0.003;120;0.004;300;Log Elite;Campinas;SP;Recife;PE;602;9.8;8.9;6.1
3469;04/01/2024;10/01/2024;10/01/2024;6;8;8;0;3378816;11460;Y;N;0;;N;N;DR90608;Carreta 3 Eixos (LS);Carreta;3;90;30;6;1.8;280;0.07;0.0025;100;0.004;400;Log Elite;Campinas;SP;Rio de Janeiro;RJ;1910;27.3;26.1;5.3
2646;12/01/2024;17/01/2024;18/01/2024;5;6;4;2;425054;19525;N;Y;1;Cliente ausente;Y;N;DR90594;Truck (Toco 6x2);Toco;2;45;14;5;1.2;175;0.05;0.002;80;0.0045;250;Log Elite;Campinas;SP;Natal;RN;3905;62.6;54.4;3.4
2433;15/01/2024;21/01/2024;21/01/2024;6;3;3;0;841271;2408;Y;N;0;;N;Y;DR90628;VUC (Urbano de Carga);VUC;2;22;4;4,3;0.9;120;0.03;0.0015;60;0.003;220;Log Elite;Campinas;SP;Londrina;PR;560;9.0;8.0;7.5
4466;19/01/2024;23/01/2024;26/01/2024;4;1;1;0;306098;7457,5;N;Y;2;;N;Y;DR90618;Fiorino (Furgao Pequeno);Furgao;2;3;1;2,5;0.75;90;0.02;0.001;50;0.003;80;ExpressCargo;Salvador;BA;Piracicaba;SP;2983;39.7;39.4;2.3
5670;26/01/2024;30/01/2024;02/02/2024;4;10;2;8;3104910;19152;N;Y;1;Pedido incorreto;Y;Y;DR90626;Carreta Bitrem;Carreta;9;110;57;8;3.2;350;0.08;0.003;120;0.004;300;Cargas Bahia;Salvador;BA;Londrina;PR;2394;35.5;39.1;2.9
8344;30/01/2024;05/02/2024;05/02/2024;6;5;5;0;3414703;14256;Y;N;0;;N;N;DR90598;Carreta 3 Eixos (LS);Carreta;3;90;30;6;1.8;280;0.07;0.0025;100;0.004;400;Log Elite;Campinas;SP; Sao Paulo;SP;2376;36.7;30.3;6.9
4505;25/01/2024;27/01/2024;27/01/2024;2;4;4;0;538578;2065;Y;N;0;;N;N;DR90592;Truck (Toco 6x2);Toco;2;45;14;5;1.2;175;0.05;0.002;80;0.0045;250;Log Elite;Campinas;SP;Santos;SP;413;6.3;5.5;2.1
2631;31/01/2024;05/02/2024;05/02/2024;5;1;1;0;272394;4777,3;Y;N;0;;N;Y;DR90586;VUC (Urbano de Carga);VUC;2;22;4;4,3;0.9;120;0.03;0.0015;60;0.003;220;Log Elite;Campinas;SP;Fortaleza;CE;1111;16.7;17.8;4.2
2420;17/01/2024;24/01/2024;29/01/2024;7;9;2;7;932052;3762,5;N;Y;1;Endereco errado;Y;Y;DR90614;Fiorino (Furgao Pequeno);Furgao;2;3;1;2,5;0.75;90;0.02;0.001;50;0.003;80;Cargas Bahia;Salvador;BA;Cascavel;PR;1505;22.0;19.4;6.2
